surrogate,max info loss,Method,Run,n,f,n_clusters,algorithm,n_components,gini,p value
hde-OM3-1,0.3,SPH,1,500,100,,,,,
hde-OM3,0.3,SPH,1,500,100,,,,,
hde-OM3-3,0.3,SPH,1,500,100,,,,,
hde-OM3,0.3,SPH,1,500,100,,,,,
mde-OM1-2,0.3,SPH,1,500,100,,,,,
mde-OM1,0.3,SPH,1,500,100,,,,,
mde-OM1-3,0.3,SPH,1,500,100,,,,,
mde-OM1,0.3,SPH,1,500,100,,,,,
mde-OM1-5,0.3,SPH,1,500,100,,,,,
mde-OM1,0.3,SPH,1,500,100,,,,,
mde-OM1-6,0.3,SPH,1,500,100,,,,,
mde-OM1,0.3,SPH,1,500,100,,,,,
mde-OM1-7,0.3,SPH,1,500,100,,,,,
mde-OM1,0.3,SPH,1,500,100,,,,,
mde-OM3-1,0.3,SPH,1,500,100,,,,,
mde-OM3-4,0.3,SPH,1,500,100,,,,,
mde-OM3-7,0.3,SPH,1,500,100,,,,,
mde-OM3-8,0.3,SPH,1,500,100,,,,,
mde-OM3-10,0.3,SPH,1,500,100,,,,,
mde-OM3-11,0.3,SPH,1,500,100,,,,,
hde-OM1-2,0.35,SPH,1,500,100,,,,,
hde-OM1,0.35,SPH,1,500,100,,,,,
hde-OM1-3,0.35,SPH,1,500,100,,,,,
hde-OM1,0.35,SPH,1,500,100,,,,,
hde-OM1-4,0.35,SPH,1,500,100,,,,,
hde-OM1,0.35,SPH,1,500,100,,,,,
hde-OM1-6,0.35,SPH,1,500,100,,,,,
hde-OM1,0.35,SPH,1,500,100,,,,,
hde-OM2-2,0.35,SPH,1,500,100,,,,,
hde-OM2,0.35,SPH,1,500,100,,,,,
hde-OM2-3,0.35,SPH,1,500,100,,,,,
hde-OM2,0.35,SPH,1,500,100,,,,,
hde-OM2-5,0.35,SPH,1,500,100,,,,,
hde-OM2,0.35,SPH,1,500,100,,,,,
hde-OM2-6,0.35,SPH,1,500,100,,,,,
hde-OM2,0.35,SPH,1,500,100,,,,,
hde-OM3-1,0.35,SPH,1,500,100,,,,,
hde-OM3,0.35,SPH,1,500,100,,,,,
hde-OM3-3,0.35,SPH,1,500,100,,,,,
hde-OM3,0.35,SPH,1,500,100,,,,,
mde-OM1-2,0.35,SPH,1,500,100,,,,,
mde-OM1,0.35,SPH,1,500,100,,,,,
mde-OM1-3,0.35,SPH,1,500,100,,,,,
mde-OM1,0.35,SPH,1,500,100,,,,,
mde-OM1-5,0.35,SPH,1,500,100,,,,,
mde-OM1,0.35,SPH,1,500,100,,,,,
mde-OM1-6,0.35,SPH,1,500,100,,,,,
mde-OM1,0.35,SPH,1,500,100,,,,,
mde-OM1-7,0.35,SPH,1,500,100,,,,,
mde-OM1,0.35,SPH,1,500,100,,,,,
mde-OM3-1,0.35,SPH,1,500,100,,,,,
mde-OM3-4,0.35,SPH,1,500,100,,,,,
mde-OM3-7,0.35,SPH,1,500,100,,,,,
mde-OM3-8,0.35,SPH,1,500,100,,,,,
mde-OM3-10,0.35,SPH,1,500,100,,,,,
mde-OM3-11,0.35,SPH,1,500,100,,,,,
hde-OM1-2,0.4,SPH,1,500,100,,,,,
hde-OM1,0.4,SPH,1,500,100,,,,,
hde-OM1-3,0.4,SPH,1,500,100,,,,,
hde-OM1,0.4,SPH,1,500,100,,,,,
hde-OM1-4,0.4,SPH,1,500,100,,,,,
hde-OM1,0.4,SPH,1,500,100,,,,,
hde-OM1-6,0.4,SPH,1,500,100,,,,,
hde-OM1,0.4,SPH,1,500,100,,,,,
hde-OM2-2,0.4,SPH,1,500,100,,,,,
hde-OM2-3,0.4,SPH,1,500,100,,,,,
hde-OM2-6,0.4,SPH,1,500,100,,,,,
hde-OM3-1,0.4,SPH,1,500,100,,,,,
hde-OM3-3,0.4,SPH,1,500,100,,,,,
mde-OM1-2,0.4,SPH,1,500,100,,,,,
mde-OM1-3,0.4,SPH,1,500,100,,,,,
mde-OM1-5,0.4,SPH,1,500,100,,,,,
mde-OM1-6,0.4,SPH,1,500,100,,,,,
mde-OM1-7,0.4,SPH,1,500,100,,,,,
mde-OM3-1,0.4,SPH,1,500,100,,,,,
mde-OM3-7,0.4,SPH,1,500,100,,,,,
mde-OM3-8,0.4,SPH,1,500,100,,,,,
mde-OM3-10,0.4,SPH,1,500,100,,,,,
mde-OM3-11,0.4,SPH,1,500,100,,,,,
hde-OM1-2,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM1-3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM1-4,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM1-6,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM2-1,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM2-2,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM2-3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM2-5,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM2-6,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM3-1,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM3-3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM1-2,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM1-3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM1-4,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM1-5,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM1-6,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM1-7,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3-1,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3-4,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3-5,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3-6,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3-7,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3-8,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3-9,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3-10,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3-11,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3-12,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3-13,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
hde-OM1-2,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM1-3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM1-4,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM1-6,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM2-1,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM2-2,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM2-3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM2-5,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM2-6,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM3-1,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM3-3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM1-2,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM1-3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM1-4,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM1-5,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM1-6,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM1-7,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3-1,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3-4,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3-5,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3-6,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3-7,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3-8,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3-9,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3-10,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3-11,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3-12,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3-13,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
mde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
hde-OM1-2,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM1-3,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM1-4,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM1-6,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM2-1,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM2-2,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM2-3,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM2-5,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM2-6,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM2,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM3-1,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM3-3,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde-OM3,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
hde,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
mde-OM1-2,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
mde-OM1-3,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
mde-OM1-4,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
mde-OM1,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
