#Samples,missing,#Features,#Classes,Gini,#SPH,#CPI,CHI,SIL,DBI,max info loss,Method,Run,n,f,n_clusters,algorithm,n_components,gini,p value
12.296666666666665,0.0697808548082648,103.33333333333333,6.957777777777778,0.18638852060179364,0,0,0.0,0.0,0.0,,Birch,1,500,100,30.0,Birch,,,
10.491428571428571,0.06359901779074738,102.85714285714286,6.024489795918368,0.165611459734735,0,0,0.0,0.0,0.0,,Birch,1,500,100,35.0,Birch,,,
9.148125,0.05837647670302015,102.5,5.406875,0.14336098810040815,0,0,0.0,0.0,0.0,,Birch,1,500,100,40.0,Birch,,,
8.10962962962963,0.05548223296917107,102.22222222222223,4.9520987654320985,0.13211630408914363,0,0,0.0,0.0,0.0,,Birch,1,500,100,45.0,Birch,,,
7.2828,0.04980487919174165,102.0,4.4676,0.11769144841708001,0,0,0.0,0.0,0.0,,Birch,1,500,100,50.0,Birch,,,
134.58620689655172,0.19988008473641364,100.0,24.017241379310345,0.2143139035812092,67,29,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.2,0.7
134.58620689655172,0.1998539734892989,100.0,24.017241379310345,0.21518376487136634,67,29,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.2,0.75
134.58620689655172,0.19966380970171854,100.0,24.017241379310345,0.2079976827858668,67,29,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.2,0.8
134.58620689655172,0.19953869245786193,100.0,24.017241379310345,0.19871157157675365,67,29,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.2,0.85
134.58620689655172,0.19676620987922053,100.0,24.017241379310345,0.1988520802704609,67,29,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.2,0.9
134.58620689655172,0.19988008473641364,100.0,24.017241379310345,0.2143139035812092,67,29,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.25,0.7
134.58620689655172,0.1998539734892989,100.0,24.017241379310345,0.21518376487136634,67,29,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.25,0.75
134.58620689655172,0.19966380970171854,100.0,24.017241379310345,0.2079976827858668,67,29,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.25,0.8
134.58620689655172,0.19953869245786193,100.0,24.017241379310345,0.19871157157675365,67,29,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.25,0.85
134.58620689655172,0.19676620987922053,100.0,24.017241379310345,0.1988520802704609,67,29,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.25,0.9
136.94736842105263,0.20254245464407,100.0,24.43859649122807,0.222752159199593,67,28,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.3,0.7
136.94736842105263,0.2025158853049006,100.0,24.43859649122807,0.2236372812141389,67,28,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.3,0.75
136.94736842105263,0.2023223853105206,100.0,24.43859649122807,0.21632512751310423,67,28,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.3,0.8
136.94736842105263,0.2021950730272981,100.0,24.43859649122807,0.20687610207225227,67,28,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.3,0.85
136.94736842105263,0.19937395040341735,100.0,24.43859649122807,0.20701907583076135,67,28,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.3,0.9
136.94736842105263,0.20254245464407,100.0,24.43859649122807,0.222752159199593,67,28,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.35,0.7
136.94736842105263,0.2025158853049006,100.0,24.43859649122807,0.2236372812141389,67,28,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.35,0.75
136.94736842105263,0.2023223853105206,100.0,24.43859649122807,0.21632512751310423,67,28,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.35,0.8
136.94736842105263,0.2021950730272981,100.0,24.43859649122807,0.20687610207225227,67,28,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.35,0.85
136.94736842105263,0.19937395040341735,100.0,24.43859649122807,0.20701907583076135,67,28,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.35,0.9
169.69565217391303,0.19360630165113693,100.0,30.282608695652176,0.2570700893881351,67,17,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.4,0.7
169.69565217391303,0.19360630165113693,100.0,30.282608695652176,0.2570700893881351,67,17,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.4,0.75
169.69565217391303,0.19345177030139601,100.0,30.282608695652176,0.25022023557334394,67,17,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.4,0.8
169.69565217391303,0.19329401377653346,100.0,30.282608695652176,0.23851166057054918,67,17,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.4,0.85
169.69565217391303,0.1898374115537612,100.0,30.282608695652176,0.25322266795591636,67,17,0.0,0.0,0.0,0.1,SPH+CPI,1,500,100,,,,0.4,0.9
84.44680851063829,0.1447690380047325,100.0,18.80851063829787,0.2033483716234824,43,18,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.2,0.7
84.44680851063829,0.14473215367655207,100.0,18.80851063829787,0.19690546559532082,43,18,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.2,0.75
84.44680851063829,0.14468767030929247,100.0,18.80851063829787,0.19493366787641975,43,18,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.2,0.8
84.44680851063829,0.14453169803932667,100.0,18.80851063829787,0.1839875414358564,43,18,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.2,0.85
84.44680851063829,0.14106196159604212,100.0,18.80851063829787,0.1930354583673321,43,18,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.2,0.9
86.28260869565217,0.14705568375845857,100.0,19.217391304347824,0.20897671786650496,43,17,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.25,0.7
86.28260869565217,0.1470179975970568,100.0,19.217391304347824,0.20239374866381815,43,17,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.25,0.75
86.28260869565217,0.1469725472000742,100.0,19.217391304347824,0.20037908577711488,43,17,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.25,0.8
86.28260869565217,0.14681318422858738,100.0,19.217391304347824,0.1891950000661045,43,17,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.25,0.85
86.28260869565217,0.14326801873218797,100.0,19.217391304347824,0.1984396108439166,43,17,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.25,0.9
88.2,0.1492541433975354,100.0,19.644444444444446,0.21954657085613102,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.3,0.7
88.2,0.1492156197658803,100.0,19.644444444444446,0.21281731344894006,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.3,0.75
88.2,0.14916915936007583,100.0,19.644444444444446,0.2107578802758656,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.3,0.8
88.2,0.14900625498922265,100.0,19.644444444444446,0.19932525932683282,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.3,0.85
88.2,0.1453823080373477,100.0,19.644444444444446,0.20877530589970736,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.3,0.9
88.2,0.1492541433975354,100.0,19.644444444444446,0.21954657085613102,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.35,0.7
88.2,0.1492156197658803,100.0,19.644444444444446,0.21281731344894006,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.35,0.75
88.2,0.14916915936007583,100.0,19.644444444444446,0.2107578802758656,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.35,0.8
88.2,0.14900625498922265,100.0,19.644444444444446,0.19932525932683282,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.35,0.85
88.2,0.1453823080373477,100.0,19.644444444444446,0.20877530589970736,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.35,0.9
88.2,0.1492541433975354,100.0,19.644444444444446,0.21954657085613102,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.4,0.7
88.2,0.1492156197658803,100.0,19.644444444444446,0.21281731344894006,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.4,0.75
88.2,0.14916915936007583,100.0,19.644444444444446,0.2107578802758656,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.4,0.8
88.2,0.14900625498922265,100.0,19.644444444444446,0.19932525932683282,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.4,0.85
88.2,0.1453823080373477,100.0,19.644444444444446,0.20877530589970736,43,16,0.0,0.0,0.0,0.15,SPH+CPI,1,500,100,,,,0.4,0.9
79.8695652173913,0.14064452052436752,100.0,18.08695652173913,0.19157465822842046,41,17,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.2,0.7
79.8695652173913,0.14061368639231153,100.0,18.08695652173913,0.18618859251713124,41,17,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.2,0.75
79.8695652173913,0.14056823599532892,100.0,18.08695652173913,0.18417392963042795,41,17,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.2,0.8
79.8695652173913,0.14042941193176686,100.0,18.08695652173913,0.17439718704319515,41,17,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.2,0.85
79.8695652173913,0.1373439769415164,100.0,18.08695652173913,0.1827476443846867,41,17,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.2,0.9
81.64444444444445,0.14289032468416826,100.0,18.488888888888887,0.19706644075695326,41,16,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.25,0.7
81.64444444444445,0.1428588053491777,100.0,18.488888888888887,0.1915606846965243,41,16,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.25,0.75
81.64444444444445,0.14281234494337322,100.0,18.488888888888887,0.18950125152344982,41,16,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.25,0.8
81.64444444444445,0.14267043590062092,100.0,18.488888888888887,0.17950724798983406,41,16,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.25,0.85
81.64444444444445,0.1395164356883649,100.0,18.488888888888887,0.1880432710500254,41,16,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.25,0.9
85.44186046511628,0.14706061110358692,100.0,19.348837209302324,0.21863542249758675,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.3,0.7
85.44186046511628,0.14702762575301542,100.0,19.348837209302324,0.21287358475992854,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.3,0.75
85.44186046511628,0.1469790043981038,100.0,19.348837209302324,0.2107183639974087,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.3,0.8
85.44186046511628,0.14683049493475833,100.0,19.348837209302324,0.20025952309013648,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.3,0.85
85.44186046511628,0.14352979703821134,100.0,19.348837209302324,0.20919257047870882,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.3,0.9
85.44186046511628,0.14706061110358692,100.0,19.348837209302324,0.21863542249758675,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.35,0.7
85.44186046511628,0.14702762575301542,100.0,19.348837209302324,0.21287358475992854,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.35,0.75
85.44186046511628,0.1469790043981038,100.0,19.348837209302324,0.2107183639974087,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.35,0.8
85.44186046511628,0.14683049493475833,100.0,19.348837209302324,0.20025952309013648,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.35,0.85
85.44186046511628,0.14352979703821134,100.0,19.348837209302324,0.20919257047870882,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.35,0.9
85.44186046511628,0.14706061110358692,100.0,19.348837209302324,0.21863542249758675,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.4,0.7
85.44186046511628,0.14702762575301542,100.0,19.348837209302324,0.21287358475992854,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.4,0.75
85.44186046511628,0.1469790043981038,100.0,19.348837209302324,0.2107183639974087,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.4,0.8
85.44186046511628,0.14683049493475833,100.0,19.348837209302324,0.20025952309013648,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.4,0.85
85.44186046511628,0.14352979703821134,100.0,19.348837209302324,0.20919257047870882,41,14,0.0,0.0,0.0,0.2,SPH+CPI,1,500,100,,,,0.4,0.9
73.04444444444445,0.13301773733505234,100.0,16.8,0.1745224260000533,38,16,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.2,0.7
73.04444444444445,0.13299672444505864,100.0,16.8,0.1708519219597673,38,16,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.2,0.75
73.04444444444445,0.1329398432042535,100.0,16.8,0.16640579051764165,38,16,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.2,0.8
73.04444444444445,0.13282942715365248,100.0,16.8,0.15856971310715148,38,16,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.2,0.85
73.04444444444445,0.13038034705082485,100.0,16.8,0.16573470089831804,38,16,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.2,0.9
76.44186046511628,0.1367973552398942,100.0,17.58139534883721,0.1889151265079923,38,14,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.25,0.7
76.44186046511628,0.13677536500617984,100.0,17.58139534883721,0.18507390134955348,38,14,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.25,0.75
76.44186046511628,0.1367158381262675,100.0,17.58139534883721,0.18042097309616614,38,14,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.25,0.8
76.44186046511628,0.13660028644540598,100.0,17.58139534883721,0.172220426968909,38,14,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.25,0.85
76.44186046511628,0.13403729564012126,100.0,17.58139534883721,0.1797186700061763,38,14,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.25,0.9
82.175,0.14315984204941862,100.0,18.9,0.21526663150994527,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.3,0.7
82.175,0.14313620254817572,100.0,18.9,0.21113731446462358,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.3,0.75
82.175,0.1430839345916457,100.0,18.9,0.2088204521449148,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.3,0.8
82.175,0.14295971653471956,100.0,18.9,0.20000486505811338,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.3,0.85
82.175,0.14020450141903845,100.0,18.9,0.20806547632317574,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.3,0.9
82.175,0.14315984204941862,100.0,18.9,0.21526663150994527,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.35,0.7
82.175,0.14313620254817572,100.0,18.9,0.21113731446462358,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.35,0.75
82.175,0.1430839345916457,100.0,18.9,0.2088204521449148,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.35,0.8
82.175,0.14295971653471956,100.0,18.9,0.20000486505811338,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.35,0.85
82.175,0.14020450141903845,100.0,18.9,0.20806547632317574,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.35,0.9
82.175,0.14315984204941862,100.0,18.9,0.21526663150994527,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.4,0.7
82.175,0.14313620254817572,100.0,18.9,0.21113731446462358,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.4,0.75
82.175,0.1430839345916457,100.0,18.9,0.2088204521449148,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.4,0.8
82.175,0.14295971653471956,100.0,18.9,0.20000486505811338,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.4,0.85
82.175,0.14020450141903845,100.0,18.9,0.20806547632317574,38,11,0.0,0.0,0.0,0.25,SPH+CPI,1,500,100,,,,0.4,0.9
71.31111111111112,0.12995507755421706,100.0,16.244444444444444,0.17148372485651345,36,16,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.2,0.7
71.31111111111112,0.12993406466422336,100.0,16.244444444444444,0.16781322081622746,36,16,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.2,0.75
71.31111111111112,0.12987718342341822,100.0,16.244444444444444,0.1633670893741018,36,16,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.2,0.8
71.31111111111112,0.12976676737281717,100.0,16.244444444444444,0.1555310119636116,36,16,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.2,0.85
71.31111111111112,0.12731768726998954,100.0,16.244444444444444,0.16269599975477816,36,16,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.2,0.9
74.62790697674419,0.13359224616692703,100.0,17.0,0.18573509042754363,36,14,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.25,0.7
74.62790697674419,0.1335702559332127,100.0,17.0,0.1818938652691048,36,14,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.25,0.75
74.62790697674419,0.13351072905330036,100.0,17.0,0.17724093701571747,36,14,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.25,0.8
74.62790697674419,0.13339517737243878,100.0,17.0,0.16904039088846032,36,14,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.25,0.85
74.62790697674419,0.1308321865671541,100.0,17.0,0.1765386339257276,36,14,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.25,0.9
80.225,0.1397143497959789,100.0,18.275,0.211848092723463,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.3,0.7
80.225,0.139690710294736,100.0,18.275,0.20771877567814126,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.3,0.75
80.225,0.139638442338206,100.0,18.275,0.20540191335843247,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.3,0.8
80.225,0.13951422428127985,100.0,18.275,0.19658632627163103,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.3,0.85
80.225,0.13675900916559877,100.0,18.275,0.2046469375366934,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.3,0.9
80.225,0.1397143497959789,100.0,18.275,0.211848092723463,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.35,0.7
80.225,0.139690710294736,100.0,18.275,0.20771877567814126,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.35,0.75
80.225,0.139638442338206,100.0,18.275,0.20540191335843247,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.35,0.8
80.225,0.13951422428127985,100.0,18.275,0.19658632627163103,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.35,0.85
80.225,0.13675900916559877,100.0,18.275,0.2046469375366934,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.35,0.9
80.225,0.1397143497959789,100.0,18.275,0.211848092723463,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.4,0.7
80.225,0.139690710294736,100.0,18.275,0.20771877567814126,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.4,0.75
80.225,0.139638442338206,100.0,18.275,0.20540191335843247,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.4,0.8
80.225,0.13951422428127985,100.0,18.275,0.19658632627163103,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.4,0.85
80.225,0.13675900916559877,100.0,18.275,0.2046469375366934,36,11,0.0,0.0,0.0,0.3,SPH+CPI,1,500,100,,,,0.4,0.9
71.31111111111112,0.12995507755421706,100.0,16.244444444444444,0.17148372485651345,36,16,0.0,0.0,0.0,0.35,SPH+CPI,1,500,100,,,,0.2,0.7
71.31111111111112,0.12993406466422336,100.0,16.244444444444444,0.16781322081622746,36,16,0.0,0.0,0.0,0.35,SPH+CPI,1,500,100,,,,0.2,0.75
71.31111111111112,0.12987718342341822,100.0,16.244444444444444,0.1633670893741018,36,16,0.0,0.0,0.0,0.35,SPH+CPI,1,500,100,,,,0.2,0.8
71.31111111111112,0.12976676737281717,100.0,16.244444444444444,0.1555310119636116,36,16,0.0,0.0,0.0,0.35,SPH+CPI,1,500,100,,,,0.2,0.85
71.31111111111112,0.12731768726998954,100.0,16.244444444444444,0.16269599975477816,36,16,0.0,0.0,0.0,0.35,SPH+CPI,1,500,100,,,,0.2,0.9
74.62790697674419,0.13359224616692703,100.0,17.0,0.18573509042754363,36,14,0.0,0.0,0.0,0.35,SPH+CPI,1,500,100,,,,0.25,0.7
74.62790697674419,0.1335702559332127,100.0,17.0,0.1818938652691048,36,14,0.0,0.0,0.0,0.35,SPH+CPI,1,500,100,,,,0.25,0.75
74.62790697674419,0.13351072905330036,100.0,17.0,0.17724093701571747,36,14,0.0,0.0,0.0,0.35,SPH+CPI,1,500,100,,,,0.25,0.8
74.62790697674419,0.13339517737243878,100.0,17.0,0.16904039088846032,36,14,0.0,0.0,0.0,0.35,SPH+CPI,1,500,100,,,,0.25,0.85
74.62790697674419,0.1308321865671541,100.0,17.0,0.1765386339257276,36,14,0.0,0.0,0.0,0.35,SPH+CPI,1,500,100,,,,0.25,0.9
80.225,0.1397143497959789,100.0,18.275,0.211848092723463,36,11,0.0,0.0,0.0,0.35,SPH+CPI,1,500,100,,,,0.3,0.7
