surrogate,Method,Run,n,f,max info loss,n_clusters,algorithm,n_components,gini,p value
mde-OM3-6,SPH,1,1050,100,0.2,,,,,
mde-OM3-10,SPH,1,1050,100,0.2,,,,,
mde-OM3-11,SPH,1,1050,100,0.2,,,,,
hde-OM1-2,SPH,1,1050,100,0.25,,,,,
hde-OM2-2,SPH,1,1050,100,0.25,,,,,
hde-OM3-1,SPH,1,1050,100,0.25,,,,,
mde-OM1-5,SPH,1,1050,100,0.25,,,,,
mde-OM1-6,SPH,1,1050,100,0.25,,,,,
mde-OM1-7,SPH,1,1050,100,0.25,,,,,
mde-OM3-1,SPH,1,1050,100,0.25,,,,,
mde-OM3-5,SPH,1,1050,100,0.25,,,,,
mde-OM3-6,SPH,1,1050,100,0.25,,,,,
mde-OM3-10,SPH,1,1050,100,0.25,,,,,
mde-OM3-11,SPH,1,1050,100,0.25,,,,,
hde-OM2-2,SPH,1,1050,100,0.3,,,,,
hde-OM3-1,SPH,1,1050,100,0.3,,,,,
mde-OM1-5,SPH,1,1050,100,0.3,,,,,
mde-OM1-7,SPH,1,1050,100,0.3,,,,,
mde-OM3-1,SPH,1,1050,100,0.3,,,,,
mde-OM3-5,SPH,1,1050,100,0.3,,,,,
mde-OM3-10,SPH,1,1050,100,0.3,,,,,
mde-OM3-11,SPH,1,1050,100,0.3,,,,,
hde-OM2-2,SPH,1,1050,100,0.35,,,,,
hde-OM3-1,SPH,1,1050,100,0.35,,,,,
mde-OM1-5,SPH,1,1050,100,0.35,,,,,
mde-OM1-7,SPH,1,1050,100,0.35,,,,,
mde-OM3-1,SPH,1,1050,100,0.35,,,,,
mde-OM3-10,SPH,1,1050,100,0.35,,,,,
mde-OM3-11,SPH,1,1050,100,0.35,,,,,
hde-OM2-2,SPH,1,1050,100,0.4,,,,,
hde-OM3-1,SPH,1,1050,100,0.4,,,,,
mde-OM1-5,SPH,1,1050,100,0.4,,,,,
mde-OM1-7,SPH,1,1050,100,0.4,,,,,
mde-OM3-1,SPH,1,1050,100,0.4,,,,,
mde-OM3-10,SPH,1,1050,100,0.4,,,,,
mde-OM3-11,SPH,1,1050,100,0.4,,,,,
hde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
hde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
hde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
hde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
hde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
hde-OM2-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
hde-OM2-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
hde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
hde-OM3-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM1-7,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM3-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM3-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM3-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM3-9,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM3-10,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM3-11,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM3-12,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
mde-OM3-13,SPH+CPI,1,1050,100,0.1,,,,0.2,0.7
hde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
hde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
hde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
hde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
hde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
hde-OM2-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
hde-OM2-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
hde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
hde-OM3-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM1-7,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM3-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM3-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM3-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM3-9,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM3-10,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM3-11,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM3-12,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
mde-OM3-13,SPH+CPI,1,1050,100,0.1,,,,0.2,0.75
hde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
hde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
hde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
hde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
hde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
hde-OM2-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
hde-OM2-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
hde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
hde-OM3-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM1-7,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM3-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM3-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM3-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM3-9,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM3-10,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM3-11,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM3-12,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
mde-OM3-13,SPH+CPI,1,1050,100,0.1,,,,0.2,0.8
hde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
hde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
hde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
hde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
hde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
hde-OM2-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
hde-OM2-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
hde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
hde-OM3-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM1-7,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM3-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM3-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM3-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM3-9,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM3-10,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM3-11,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM3-12,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
mde-OM3-13,SPH+CPI,1,1050,100,0.1,,,,0.2,0.85
hde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
hde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
hde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
hde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
hde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
hde-OM2-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
hde-OM2-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
hde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
hde-OM3-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM1-7,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM3-4,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM3-5,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM3-6,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM3-9,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM3-10,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM3-11,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM3-12,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
mde-OM3-13,SPH+CPI,1,1050,100,0.1,,,,0.2,0.9
hde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
hde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
hde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
hde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
hde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
hde-OM2-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
hde-OM2-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
hde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
hde-OM3-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM1-7,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM3-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM3-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM3-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM3-9,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM3-10,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM3-11,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM3-12,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
mde-OM3-13,SPH+CPI,1,1050,100,0.1,,,,0.25,0.7
hde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
hde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
hde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
hde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
hde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
hde-OM2-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
hde-OM2-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
hde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
hde-OM3-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM1-7,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM3-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM3-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM3-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM3-9,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM3-10,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM3-11,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM3-12,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
mde-OM3-13,SPH+CPI,1,1050,100,0.1,,,,0.25,0.75
hde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
hde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
hde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
hde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
hde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
hde-OM2-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
hde-OM2-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
hde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
hde-OM3-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM1-7,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM3-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM3-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM3-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM3-9,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM3-10,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM3-11,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM3-12,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
mde-OM3-13,SPH+CPI,1,1050,100,0.1,,,,0.25,0.8
hde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
hde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
hde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
hde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
hde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
hde-OM2-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
hde-OM2-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
hde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
hde-OM3-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM1-7,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM3-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM3-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM3-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM3-9,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM3-10,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM3-11,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM3-12,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
mde-OM3-13,SPH+CPI,1,1050,100,0.1,,,,0.25,0.85
hde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
hde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
hde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
hde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
hde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
hde-OM2-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
hde-OM2-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
hde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
hde-OM3-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM1-7,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM3-4,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM3-5,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM3-6,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM3-9,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM3-10,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM3-11,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM3-12,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
mde-OM3-13,SPH+CPI,1,1050,100,0.1,,,,0.25,0.9
hde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
hde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
hde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
hde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
hde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
hde-OM2-1,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
hde-OM2-2,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
hde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
hde-OM3-3,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM1-7,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM3-4,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM3-5,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM3-6,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM3-9,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM3-10,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM3-11,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM3-12,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
mde-OM3-13,SPH+CPI,1,1050,100,0.1,,,,0.3,0.7
hde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
hde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
hde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
hde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
hde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
hde-OM2-1,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
hde-OM2-2,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
hde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
hde-OM3-3,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM1-4,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM1-5,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM1-6,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM1-7,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM3-1,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM3-4,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM3-5,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM3-6,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM3-9,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM3-10,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM3-11,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM3-12,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
mde-OM3-13,SPH+CPI,1,1050,100,0.1,,,,0.3,0.75
hde-OM1-2,SPH+CPI,1,1050,100,0.1,,,,0.3,0.8
hde-OM1-3,SPH+CPI,1,1050,100,0.1,,,,0.3,0.8
