Method,R_e,A@e,RA@e,Run,n,f,max info loss,n_clusters,algorithm,n_components,gini,p value
SPH,1,0.4266666666666667,1.0,1,1050,50,0.35,,,,,
SPH,2,0.6166666666666667,1.308108108108108,1,1050,50,0.35,,,,,
SPH,3,0.69,1.4879227053140096,1,1050,50,0.35,,,,,
SPH,4,0.7333333333333333,1.6363636363636365,1,1050,50,0.35,,,,,
SPH,5,0.7766666666666666,1.8240343347639485,1,1050,50,0.35,,,,,
SPH,6,0.7866666666666666,1.8771186440677967,1,1050,50,0.35,,,,,
SPH,7,0.7933333333333333,1.9201680672268908,1,1050,50,0.35,,,,,
SPH,8,0.8033333333333333,1.995850622406639,1,1050,50,0.35,,,,,
SPH,9,0.8133333333333334,2.081967213114754,1,1050,50,0.35,,,,,
SPH,10,0.8166666666666667,2.1142857142857143,1,1050,50,0.35,,,,,
SPH,1,0.4266666666666667,1.0,1,1050,50,0.4,,,,,
SPH,2,0.6166666666666667,1.308108108108108,1,1050,50,0.4,,,,,
SPH,3,0.69,1.4879227053140096,1,1050,50,0.4,,,,,
SPH,4,0.7333333333333333,1.6363636363636365,1,1050,50,0.4,,,,,
SPH,5,0.7766666666666666,1.8240343347639485,1,1050,50,0.4,,,,,
SPH,6,0.7866666666666666,1.8771186440677967,1,1050,50,0.4,,,,,
SPH,7,0.7933333333333333,1.9201680672268908,1,1050,50,0.4,,,,,
SPH,8,0.8033333333333333,1.995850622406639,1,1050,50,0.4,,,,,
SPH,9,0.8133333333333334,2.081967213114754,1,1050,50,0.4,,,,,
SPH,10,0.8166666666666667,2.1142857142857143,1,1050,50,0.4,,,,,
RF+B,1,0.37666666666666665,1.0,1,1050,50,,,,,,
RF+B,2,0.5233333333333333,1.2802547770700636,1,1050,50,,,,,,
RF+B,3,0.6233333333333333,1.5561497326203209,1,1050,50,,,,,,
RF+B,4,0.6633333333333333,1.7035175879396984,1,1050,50,,,,,,
RF+B,5,0.6933333333333334,1.8461538461538463,1,1050,50,,,,,,
RF+B,6,0.72,2.0,1,1050,50,,,,,,
RF+B,7,0.7433333333333333,2.1569506726457397,1,1050,50,,,,,,
RF+B,8,0.7633333333333333,2.3100436681222707,1,1050,50,,,,,,
RF+B,9,0.7866666666666666,2.5084745762711864,1,1050,50,,,,,,
RF+B,10,0.7966666666666666,2.602510460251046,1,1050,50,,,,,,
KMeans,1,0.39,1.0,1,1050,50,,10.0,KMeans,,,
KMeans,2,0.5366666666666666,1.2732919254658386,1,1050,50,,10.0,KMeans,,,
KMeans,3,0.6033333333333334,1.4640883977900552,1,1050,50,,10.0,KMeans,,,
KMeans,4,0.66,1.6818181818181819,1,1050,50,,10.0,KMeans,,,
KMeans,5,0.7033333333333334,1.886255924170616,1,1050,50,,10.0,KMeans,,,
KMeans,6,0.7433333333333333,2.10762331838565,1,1050,50,,10.0,KMeans,,,
KMeans,7,0.7666666666666667,2.256521739130435,1,1050,50,,10.0,KMeans,,,
KMeans,8,0.7866666666666666,2.402542372881356,1,1050,50,,10.0,KMeans,,,
KMeans,9,0.8033333333333333,2.5394190871369293,1,1050,50,,10.0,KMeans,,,
KMeans,10,0.8066666666666666,2.5702479338842976,1,1050,50,,10.0,KMeans,,,
KMeans,1,0.35333333333333333,1.0,1,1050,50,,15.0,KMeans,,,
KMeans,2,0.5066666666666667,1.3026315789473684,1,1050,50,,15.0,KMeans,,,
KMeans,3,0.6,1.5666666666666667,1,1050,50,,15.0,KMeans,,,
KMeans,4,0.6733333333333333,1.8316831683168318,1,1050,50,,15.0,KMeans,,,
KMeans,5,0.7166666666666667,2.0232558139534884,1,1050,50,,15.0,KMeans,,,
KMeans,6,0.7566666666666667,2.2334801762114536,1,1050,50,,15.0,KMeans,,,
KMeans,7,0.7766666666666666,2.356223175965665,1,1050,50,,15.0,KMeans,,,
KMeans,8,0.7966666666666666,2.497907949790795,1,1050,50,,15.0,KMeans,,,
KMeans,9,0.81,2.6049382716049383,1,1050,50,,15.0,KMeans,,,
KMeans,10,0.8266666666666667,2.754032258064516,1,1050,50,,15.0,KMeans,,,
KMeans,1,0.3433333333333333,1.0,1,1050,50,,20.0,KMeans,,,
KMeans,2,0.5233333333333333,1.3439490445859872,1,1050,50,,20.0,KMeans,,,
KMeans,3,0.6233333333333333,1.6096256684491979,1,1050,50,,20.0,KMeans,,,
KMeans,4,0.6833333333333333,1.8195121951219513,1,1050,50,,20.0,KMeans,,,
KMeans,5,0.72,1.9814814814814814,1,1050,50,,20.0,KMeans,,,
KMeans,6,0.7466666666666667,2.125,1,1050,50,,20.0,KMeans,,,
KMeans,7,0.77,2.272727272727273,1,1050,50,,20.0,KMeans,,,
KMeans,8,0.79,2.4177215189873418,1,1050,50,,20.0,KMeans,,,
KMeans,9,0.8066666666666666,2.553719008264463,1,1050,50,,20.0,KMeans,,,
KMeans,10,0.8333333333333334,2.792,1,1050,50,,20.0,KMeans,,,
KMeans,1,0.36333333333333334,1.0,1,1050,50,,25.0,KMeans,,,
KMeans,2,0.5333333333333333,1.31875,1,1050,50,,25.0,KMeans,,,
KMeans,3,0.63,1.5767195767195767,1,1050,50,,25.0,KMeans,,,
KMeans,4,0.6866666666666666,1.7766990291262137,1,1050,50,,25.0,KMeans,,,
KMeans,5,0.74,2.009009009009009,1,1050,50,,25.0,KMeans,,,
KMeans,6,0.7633333333333333,2.131004366812227,1,1050,50,,25.0,KMeans,,,
KMeans,7,0.7766666666666666,2.2145922746781115,1,1050,50,,25.0,KMeans,,,
KMeans,8,0.8066666666666666,2.4297520661157024,1,1050,50,,25.0,KMeans,,,
KMeans,9,0.8233333333333334,2.562753036437247,1,1050,50,,25.0,KMeans,,,
KMeans,10,0.85,2.796078431372549,1,1050,50,,25.0,KMeans,,,
KMeans,1,0.3933333333333333,1.0,1,1050,50,,26.0,KMeans,,,
KMeans,2,0.51,1.2287581699346406,1,1050,50,,26.0,KMeans,,,
KMeans,3,0.6066666666666667,1.510989010989011,1,1050,50,,26.0,KMeans,,,
KMeans,4,0.67,1.7462686567164178,1,1050,50,,26.0,KMeans,,,
KMeans,5,0.7233333333333334,1.9861751152073732,1,1050,50,,26.0,KMeans,,,
KMeans,6,0.7533333333333333,2.146017699115044,1,1050,50,,26.0,KMeans,,,
KMeans,7,0.7866666666666666,2.3516949152542375,1,1050,50,,26.0,KMeans,,,
KMeans,8,0.8133333333333334,2.5368852459016393,1,1050,50,,26.0,KMeans,,,
KMeans,9,0.8233333333333334,2.6153846153846154,1,1050,50,,26.0,KMeans,,,
KMeans,10,0.84,2.761904761904762,1,1050,50,,26.0,KMeans,,,
KMeans,1,0.38333333333333336,1.0,1,1050,50,,30.0,KMeans,,,
KMeans,2,0.55,1.303030303030303,1,1050,50,,30.0,KMeans,,,
KMeans,3,0.6166666666666667,1.4864864864864864,1,1050,50,,30.0,KMeans,,,
KMeans,4,0.6766666666666666,1.70935960591133,1,1050,50,,30.0,KMeans,,,
KMeans,5,0.7366666666666667,1.9773755656108598,1,1050,50,,30.0,KMeans,,,
KMeans,6,0.7666666666666667,2.134782608695652,1,1050,50,,30.0,KMeans,,,
KMeans,7,0.7966666666666666,2.3179916317991633,1,1050,50,,30.0,KMeans,,,
KMeans,8,0.8266666666666667,2.524193548387097,1,1050,50,,30.0,KMeans,,,
KMeans,9,0.8366666666666667,2.601593625498008,1,1050,50,,30.0,KMeans,,,
KMeans,10,0.8466666666666667,2.688976377952756,1,1050,50,,30.0,KMeans,,,
KMeans,1,0.37333333333333335,1.0,1,1050,50,,35.0,KMeans,,,
KMeans,2,0.51,1.2679738562091503,1,1050,50,,35.0,KMeans,,,
KMeans,3,0.59,1.502824858757062,1,1050,50,,35.0,KMeans,,,
KMeans,4,0.6333333333333333,1.6736842105263159,1,1050,50,,35.0,KMeans,,,
KMeans,5,0.6866666666666666,1.9320388349514563,1,1050,50,,35.0,KMeans,,,
KMeans,6,0.72,2.1203703703703702,1,1050,50,,35.0,KMeans,,,
KMeans,7,0.75,2.3155555555555556,1,1050,50,,35.0,KMeans,,,
KMeans,8,0.7733333333333333,2.4870689655172415,1,1050,50,,35.0,KMeans,,,
KMeans,9,0.78,2.5427350427350426,1,1050,50,,35.0,KMeans,,,
KMeans,10,0.7933333333333333,2.668067226890756,1,1050,50,,35.0,KMeans,,,
KMeans,1,0.37333333333333335,1.0,1,1050,50,,40.0,KMeans,,,
KMeans,2,0.5166666666666667,1.2774193548387096,1,1050,50,,40.0,KMeans,,,
KMeans,3,0.6,1.5166666666666666,1,1050,50,,40.0,KMeans,,,
KMeans,4,0.63,1.6349206349206349,1,1050,50,,40.0,KMeans,,,
KMeans,5,0.6966666666666667,1.9569377990430623,1,1050,50,,40.0,KMeans,,,
KMeans,6,0.7233333333333334,2.1059907834101383,1,1050,50,,40.0,KMeans,,,
KMeans,7,0.76,2.3421052631578947,1,1050,50,,40.0,KMeans,,,
KMeans,8,0.79,2.5569620253164556,1,1050,50,,40.0,KMeans,,,
KMeans,9,0.81,2.7160493827160495,1,1050,50,,40.0,KMeans,,,
KMeans,10,0.8233333333333334,2.834008097165992,1,1050,50,,40.0,KMeans,,,
KMeans,1,0.38333333333333336,1.0,1,1050,50,,45.0,KMeans,,,
KMeans,2,0.48333333333333334,1.206896551724138,1,1050,50,,45.0,KMeans,,,
KMeans,3,0.5833333333333334,1.5142857142857142,1,1050,50,,45.0,KMeans,,,
KMeans,4,0.6366666666666667,1.7225130890052356,1,1050,50,,45.0,KMeans,,,
KMeans,5,0.6966666666666667,2.0047846889952154,1,1050,50,,45.0,KMeans,,,
KMeans,6,0.73,2.1872146118721463,1,1050,50,,45.0,KMeans,,,
KMeans,7,0.7533333333333333,2.336283185840708,1,1050,50,,45.0,KMeans,,,
KMeans,8,0.7733333333333333,2.4827586206896552,1,1050,50,,45.0,KMeans,,,
KMeans,9,0.7766666666666666,2.5107296137339055,1,1050,50,,45.0,KMeans,,,
KMeans,10,0.7833333333333333,2.574468085106383,1,1050,50,,45.0,KMeans,,,
KMeans,1,0.36666666666666664,1.0,1,1050,50,,50.0,KMeans,,,
KMeans,2,0.5166666666666667,1.2903225806451613,1,1050,50,,50.0,KMeans,,,
KMeans,3,0.59,1.502824858757062,1,1050,50,,50.0,KMeans,,,
KMeans,4,0.6533333333333333,1.7448979591836735,1,1050,50,,50.0,KMeans,,,
KMeans,5,0.7,1.9619047619047618,1,1050,50,,50.0,KMeans,,,
KMeans,6,0.74,2.18018018018018,1,1050,50,,50.0,KMeans,,,
KMeans,7,0.7733333333333333,2.3879310344827585,1,1050,50,,50.0,KMeans,,,
KMeans,8,0.8033333333333333,2.5975103734439835,1,1050,50,,50.0,KMeans,,,
KMeans,9,0.8133333333333334,2.6762295081967213,1,1050,50,,50.0,KMeans,,,
KMeans,10,0.8266666666666667,2.7943548387096775,1,1050,50,,50.0,KMeans,,,
GMM,1,0.31333333333333335,1.0,1,1050,50,,,GMM,10.0,,
GMM,2,0.4533333333333333,1.3088235294117647,1,1050,50,,,GMM,10.0,,
GMM,3,0.54,1.5802469135802468,1,1050,50,,,GMM,10.0,,
GMM,4,0.5933333333333334,1.797752808988764,1,1050,50,,,GMM,10.0,,
GMM,5,0.6366666666666667,2.0157068062827226,1,1050,50,,,GMM,10.0,,
GMM,6,0.6733333333333333,2.232673267326733,1,1050,50,,,GMM,10.0,,
GMM,7,0.6833333333333333,2.3024390243902437,1,1050,50,,,GMM,10.0,,
GMM,8,0.7066666666666667,2.490566037735849,1,1050,50,,,GMM,10.0,,
GMM,9,0.7233333333333334,2.640552995391705,1,1050,50,,,GMM,10.0,,
GMM,10,0.7366666666666667,2.773755656108597,1,1050,50,,,GMM,10.0,,
GMM,1,0.25333333333333335,1.0,1,1050,50,,,GMM,15.0,,
GMM,2,0.36666666666666664,1.309090909090909,1,1050,50,,,GMM,15.0,,
GMM,3,0.43,1.558139534883721,1,1050,50,,,GMM,15.0,,
GMM,4,0.45666666666666667,1.7007299270072993,1,1050,50,,,GMM,15.0,,
GMM,5,0.49333333333333335,1.945945945945946,1,1050,50,,,GMM,15.0,,
GMM,6,0.52,2.1538461538461537,1,1050,50,,,GMM,15.0,,
GMM,7,0.5333333333333333,2.275,1,1050,50,,,GMM,15.0,,
GMM,8,0.5433333333333333,2.3803680981595092,1,1050,50,,,GMM,15.0,,
GMM,9,0.5466666666666666,2.4207317073170733,1,1050,50,,,GMM,15.0,,
GMM,10,0.5633333333333334,2.6449704142011834,1,1050,50,,,GMM,15.0,,
GMM,1,0.2733333333333333,1.0,1,1050,50,,,GMM,20.0,,
GMM,2,0.36666666666666664,1.2545454545454546,1,1050,50,,,GMM,20.0,,
GMM,3,0.4266666666666667,1.5,1,1050,50,,,GMM,20.0,,
GMM,4,0.4633333333333333,1.6978417266187051,1,1050,50,,,GMM,20.0,,
GMM,5,0.51,2.0,1,1050,50,,,GMM,20.0,,
GMM,6,0.5233333333333333,2.1019108280254777,1,1050,50,,,GMM,20.0,,
GMM,7,0.55,2.3393939393939394,1,1050,50,,,GMM,20.0,,
GMM,8,0.5633333333333334,2.473372781065089,1,1050,50,,,GMM,20.0,,
GMM,9,0.5833333333333334,2.697142857142857,1,1050,50,,,GMM,20.0,,
GMM,10,0.6033333333333334,2.9392265193370166,1,1050,50,,,GMM,20.0,,
GMM,1,0.2866666666666667,1.0,1,1050,50,,,GMM,25.0,,
GMM,2,0.38,1.2456140350877194,1,1050,50,,,GMM,25.0,,
GMM,3,0.46,1.5507246376811594,1,1050,50,,,GMM,25.0,,
GMM,4,0.49333333333333335,1.7162162162162162,1,1050,50,,,GMM,25.0,,
GMM,5,0.5266666666666666,1.9240506329113924,1,1050,50,,,GMM,25.0,,
GMM,6,0.5533333333333333,2.1204819277108435,1,1050,50,,,GMM,25.0,,
GMM,7,0.5833333333333334,2.3714285714285714,1,1050,50,,,GMM,25.0,,
GMM,8,0.5933333333333334,2.466292134831461,1,1050,50,,,GMM,25.0,,
GMM,9,0.61,2.6448087431693987,1,1050,50,,,GMM,25.0,,
GMM,10,0.6333333333333333,2.9157894736842107,1,1050,50,,,GMM,25.0,,
GMM,1,0.23,1.0,1,1050,50,,,GMM,26.0,,
GMM,2,0.3466666666666667,1.3365384615384615,1,1050,50,,,GMM,26.0,,
GMM,3,0.39,1.5213675213675213,1,1050,50,,,GMM,26.0,,
GMM,4,0.42,1.6984126984126984,1,1050,50,,,GMM,26.0,,
GMM,5,0.46,1.9855072463768115,1,1050,50,,,GMM,26.0,,
GMM,6,0.49,2.2312925170068025,1,1050,50,,,GMM,26.0,,
GMM,7,0.5,2.3266666666666667,1,1050,50,,,GMM,26.0,,
GMM,8,0.51,2.4379084967320264,1,1050,50,,,GMM,26.0,,
GMM,9,0.52,2.5641025641025643,1,1050,50,,,GMM,26.0,,
GMM,10,0.5333333333333333,2.75,1,1050,50,,,GMM,26.0,,
GMM,1,0.25666666666666665,1.0,1,1050,50,,,GMM,30.0,,
GMM,2,0.38,1.3245614035087718,1,1050,50,,,GMM,30.0,,
GMM,3,0.44666666666666666,1.5746268656716418,1,1050,50,,,GMM,30.0,,
GMM,4,0.47,1.6950354609929077,1,1050,50,,,GMM,30.0,,
GMM,5,0.51,1.9542483660130718,1,1050,50,,,GMM,30.0,,
GMM,6,0.52,2.032051282051282,1,1050,50,,,GMM,30.0,,
GMM,7,0.5433333333333333,2.245398773006135,1,1050,50,,,GMM,30.0,,
GMM,8,0.56,2.4166666666666665,1,1050,50,,,GMM,30.0,,
GMM,9,0.5833333333333334,2.68,1,1050,50,,,GMM,30.0,,
GMM,10,0.6033333333333334,2.9226519337016574,1,1050,50,,,GMM,30.0,,
GMM,1,0.23333333333333334,1.0,1,1050,50,,,GMM,35.0,,
GMM,2,0.33,1.292929292929293,1,1050,50,,,GMM,35.0,,
GMM,3,0.37666666666666665,1.5044247787610618,1,1050,50,,,GMM,35.0,,
GMM,4,0.41,1.7073170731707317,1,1050,50,,,GMM,35.0,,
GMM,5,0.43333333333333335,1.8846153846153846,1,1050,50,,,GMM,35.0,,
GMM,6,0.45,2.037037037037037,1,1050,50,,,GMM,35.0,,
GMM,7,0.47333333333333333,2.2816901408450705,1,1050,50,,,GMM,35.0,,
GMM,8,0.49333333333333335,2.5135135135135136,1,1050,50,,,GMM,35.0,,
GMM,9,0.5166666666666667,2.806451612903226,1,1050,50,,,GMM,35.0,,
GMM,10,0.5333333333333333,3.03125,1,1050,50,,,GMM,35.0,,
GMM,1,0.25,1.0,1,1050,50,,,GMM,40.0,,
GMM,2,0.3466666666666667,1.2788461538461537,1,1050,50,,,GMM,40.0,,
GMM,3,0.44333333333333336,1.6541353383458646,1,1050,50,,,GMM,40.0,,
GMM,4,0.48333333333333334,1.8482758620689654,1,1050,50,,,GMM,40.0,,
GMM,5,0.5266666666666666,2.107594936708861,1,1050,50,,,GMM,40.0,,
GMM,6,0.5433333333333333,2.226993865030675,1,1050,50,,,GMM,40.0,,
GMM,7,0.5533333333333333,2.3132530120481927,1,1050,50,,,GMM,40.0,,
GMM,8,0.58,2.574712643678161,1,1050,50,,,GMM,40.0,,
GMM,9,0.5866666666666667,2.647727272727273,1,1050,50,,,GMM,40.0,,
GMM,10,0.5933333333333334,2.730337078651685,1,1050,50,,,GMM,40.0,,
GMM,1,0.31,1.0,1,1050,50,,,GMM,45.0,,
GMM,2,0.44,1.2954545454545454,1,1050,50,,,GMM,45.0,,
GMM,3,0.52,1.5576923076923077,1,1050,50,,,GMM,45.0,,
GMM,4,0.5633333333333334,1.7455621301775148,1,1050,50,,,GMM,45.0,,
GMM,5,0.5966666666666667,1.9273743016759777,1,1050,50,,,GMM,45.0,,
GMM,6,0.62,2.0806451612903225,1,1050,50,,,GMM,45.0,,
GMM,7,0.6466666666666666,2.283505154639175,1,1050,50,,,GMM,45.0,,
GMM,8,0.6633333333333333,2.4271356783919598,1,1050,50,,,GMM,45.0,,
GMM,9,0.6833333333333333,2.6195121951219513,1,1050,50,,,GMM,45.0,,
GMM,10,0.6933333333333334,2.7259615384615383,1,1050,50,,,GMM,45.0,,
GMM,1,0.30666666666666664,1.0,1,1050,50,,,GMM,50.0,,
GMM,2,0.4,1.2333333333333334,1,1050,50,,,GMM,50.0,,
GMM,3,0.4533333333333333,1.4411764705882353,1,1050,50,,,GMM,50.0,,
GMM,4,0.51,1.7254901960784315,1,1050,50,,,GMM,50.0,,
GMM,5,0.56,2.017857142857143,1,1050,50,,,GMM,50.0,,
GMM,6,0.5866666666666667,2.1988636363636362,1,1050,50,,,GMM,50.0,,
GMM,7,0.6033333333333334,2.3314917127071824,1,1050,50,,,GMM,50.0,,
GMM,8,0.6233333333333333,2.513368983957219,1,1050,50,,,GMM,50.0,,
GMM,9,0.6333333333333333,2.6157894736842104,1,1050,50,,,GMM,50.0,,
GMM,10,0.65,2.805128205128205,1,1050,50,,,GMM,50.0,,
Birch,1,0.37,1.0,1,1050,50,,10.0,Birch,,,
Birch,2,0.5266666666666666,1.2974683544303798,1,1050,50,,10.0,Birch,,,
Birch,3,0.6133333333333333,1.5380434782608696,1,1050,50,,10.0,Birch,,,
Birch,4,0.6666666666666666,1.735,1,1050,50,,10.0,Birch,,,
Birch,5,0.7066666666666667,1.919811320754717,1,1050,50,,10.0,Birch,,,
Birch,6,0.74,2.1036036036036037,1,1050,50,,10.0,Birch,,,
Birch,7,0.7566666666666667,2.211453744493392,1,1050,50,,10.0,Birch,,,
Birch,8,0.7666666666666667,2.2869565217391306,1,1050,50,,10.0,Birch,,,
Birch,9,0.7966666666666666,2.5397489539748954,1,1050,50,,10.0,Birch,,,
Birch,10,0.8133333333333334,2.692622950819672,1,1050,50,,10.0,Birch,,,
Birch,1,0.36,1.0,1,1050,50,,15.0,Birch,,,
Birch,2,0.5066666666666667,1.2894736842105263,1,1050,50,,15.0,Birch,,,
Birch,3,0.62,1.6021505376344085,1,1050,50,,15.0,Birch,,,
Birch,4,0.67,1.7810945273631842,1,1050,50,,15.0,Birch,,,
Birch,5,0.7033333333333334,1.933649289099526,1,1050,50,,15.0,Birch,,,
Birch,6,0.7366666666666667,2.1176470588235294,1,1050,50,,15.0,Birch,,,
Birch,7,0.7533333333333333,2.225663716814159,1,1050,50,,15.0,Birch,,,
Birch,8,0.7733333333333333,2.375,1,1050,50,,15.0,Birch,,,
Birch,9,0.79,2.5147679324894514,1,1050,50,,15.0,Birch,,,
Birch,10,0.81,2.6995884773662553,1,1050,50,,15.0,Birch,,,
Birch,1,0.35333333333333333,1.0,1,1050,50,,20.0,Birch,,,
Birch,2,0.49333333333333335,1.2837837837837838,1,1050,50,,20.0,Birch,,,
Birch,3,0.6066666666666667,1.6043956043956045,1,1050,50,,20.0,Birch,,,
Birch,4,0.6733333333333333,1.8415841584158417,1,1050,50,,20.0,Birch,,,
Birch,5,0.7,1.9619047619047618,1,1050,50,,20.0,Birch,,,
Birch,6,0.73,2.127853881278539,1,1050,50,,20.0,Birch,,,
Birch,7,0.75,2.2577777777777777,1,1050,50,,20.0,Birch,,,
Birch,8,0.7666666666666667,2.382608695652174,1,1050,50,,20.0,Birch,,,
Birch,9,0.7833333333333333,2.523404255319149,1,1050,50,,20.0,Birch,,,
Birch,10,0.8066666666666666,2.739669421487603,1,1050,50,,20.0,Birch,,,
Birch,1,0.37,1.0,1,1050,50,,25.0,Birch,,,
Birch,2,0.52,1.2884615384615385,1,1050,50,,25.0,Birch,,,
Birch,3,0.6133333333333333,1.548913043478261,1,1050,50,,25.0,Birch,,,
Birch,4,0.67,1.756218905472637,1,1050,50,,25.0,Birch,,,
Birch,5,0.71,1.9389671361502347,1,1050,50,,25.0,Birch,,,
Birch,6,0.7433333333333333,2.1210762331838566,1,1050,50,,25.0,Birch,,,
Birch,7,0.7633333333333333,2.2489082969432315,1,1050,50,,25.0,Birch,,,
Birch,8,0.79,2.4430379746835444,1,1050,50,,25.0,Birch,,,
Birch,9,0.8033333333333333,2.5518672199170123,1,1050,50,,25.0,Birch,,,
Birch,10,0.8266666666666667,2.7620967741935485,1,1050,50,,25.0,Birch,,,
Birch,1,0.37333333333333335,1.0,1,1050,50,,26.0,Birch,,,
Birch,2,0.5166666666666667,1.2774193548387096,1,1050,50,,26.0,Birch,,,
Birch,3,0.61,1.540983606557377,1,1050,50,,26.0,Birch,,,
Birch,4,0.6666666666666666,1.75,1,1050,50,,26.0,Birch,,,
Birch,5,0.71,1.948356807511737,1,1050,50,,26.0,Birch,,,
Birch,6,0.7433333333333333,2.1300448430493275,1,1050,50,,26.0,Birch,,,
Birch,7,0.7633333333333333,2.2576419213973797,1,1050,50,,26.0,Birch,,,
Birch,8,0.79,2.451476793248945,1,1050,50,,26.0,Birch,,,
Birch,9,0.8033333333333333,2.5601659751037342,1,1050,50,,26.0,Birch,,,
Birch,10,0.8266666666666667,2.7701612903225805,1,1050,50,,26.0,Birch,,,
Birch,1,0.36666666666666664,1.0,1,1050,50,,30.0,Birch,,,
Birch,2,0.5166666666666667,1.2903225806451613,1,1050,50,,30.0,Birch,,,
Birch,3,0.62,1.575268817204301,1,1050,50,,30.0,Birch,,,
Birch,4,0.6566666666666666,1.7106598984771573,1,1050,50,,30.0,Birch,,,
Birch,5,0.6933333333333334,1.8846153846153846,1,1050,50,,30.0,Birch,,,
Birch,6,0.7366666666666667,2.1266968325791855,1,1050,50,,30.0,Birch,,,
